Id,Название производителя
1,Princeton Review
2,Кнорус
3,Яуза
4,Аванта+
5,Dorling Kindersley
6,Delta Publishing
7,Проспект
8,Express Publishing
9,Эксмо-Пресс
10,Розовый жираф
11,Стандарт-Коллекция
12,Медиарама
13,Вагриус
14,Академкнига
15,Прогресс
16,Возвращение
17,АСТ
18,Ladybird
19,ЛитРес
20,Матезис
21,Gallimard
22,Современник
23,Алгоритм
24,Антология
25,Росмэн
26,Просвещение
27,Мир хобби
28,Попурри
29,Феникс
30,Абрис
31,Де Агостини
32,Виват
33,Весь мир
34,Велес-ВА
35,Дрофа
36,Эксмо
37,Аврора
38,Cambridge
39,Планета
40,Вита Нова
41,РОССПЭН
42,Мир
43,Росток
44,Питер
45,Вита-Пресс
46,Литературная Россия
47,Флинта
48,Академический проект
49,ИНФРА-М
50,Прометей
